cookieId,Date,Diameter,Ovality,Cutsize,AlmondArea,BakeMeasure,DefectType,cookietype
1806483,2015-05-13 11:00:17,65.996002,0.802,1.261,214.737,81.82800293,OverBaked,Delishus_NB_150
1806484,2015-05-13 11:00:17,61.933998,0.86,0.959,164.675995,46.43399811,GoodBiscuit,Delishus_NB_150
1806485,2015-05-13 11:00:18,63.040001,0.625,0.767,211.113007,36.92900085,GoodBiscuit,Delishus_NB_150
1806486,2015-05-13 11:00:18,66.767998,0.524,0.905,161.052994,43.73699951,GoodBiscuit,Delishus_NB_150
1806487,2015-05-13 11:00:18,66.748001,1.401,1.35,321.567993,49.79700089,GoodBiscuit,Delishus_NB_150
1806488,2015-05-13 11:00:19,65.829002,0.402,0.737,158.636993,34.8390007,GoodBiscuit,Delishus_NB_150
1806489,2015-05-13 11:00:19,66.747002,0.317,0.573,192.860992,63.65599823,GoodBiscuit,Delishus_NB_150
1806490,2015-05-13 11:00:19,61.957001,0.615,1.196,195.141998,57.40000153,GoodBiscuit,Delishus_NB_150
1806491,2015-05-13 11:00:19,63.263,1.01,1.001,168.166,36.32099915,GoodBiscuit,Delishus_NB_150
1806492,2015-05-13 11:00:20,61.048,1.699,1.648,100.926003,23.6760006,GoodBiscuit,Delishus_NB_150
1806493,2015-05-13 11:00:20,62.625999,0.822,0.904,165.078995,36.36500168,GoodBiscuit,Delishus_NB_150
1806494,2015-05-13 11:00:20,62.611,0.723,0.829,139.175995,54.33000183,GoodBiscuit,Delishus_NB_150
1806495,2015-05-13 11:00:21,66.110001,1.596,1.539,198.363007,49.77399826,GoodBiscuit,Delishus_NB_150
1806496,2015-05-13 11:00:21,62.584999,0.945,1.224,110.991997,54.03900146,GoodBiscuit,Delishus_NB_150
1806497,2015-05-13 11:00:21,66.487999,0.404,0.976,204.938995,43.22200012,GoodBiscuit,Delishus_NB_150
1806498,2015-05-13 11:00:21,66.470001,1.062,1.156,276.473999,56.31600189,GoodBiscuit,Delishus_NB_150
1806499,2015-05-13 11:00:22,63.112,1.813,1.4529999,123.338997,34.24200058,GoodBiscuit,Delishus_NB_150
1806500,2015-05-13 11:00:22,67.732002,0.739,0.792,362.904999,40.43199921,GoodBiscuit,Delishus_NB_150
1806501,2015-05-13 11:00:22,61.632999,0.646,0.699,61.0660019,51.45199966,GoodBiscuit,Delishus_NB_150
1806502,2015-05-13 11:00:22,66.858002,0.998,1.147,390.417999,55.18700027,GoodBiscuit,Delishus_NB_150
1806503,2015-05-13 11:00:23,62.902,0.53,0.838,152.865997,33.98899841,GoodBiscuit,Delishus_NB_150
1806504,2015-05-13 11:00:23,66.681,0.962,1.4910001,264.394989,48.00999832,GoodBiscuit,Delishus_NB_150
1806505,2015-05-13 11:00:23,65.958,0.793,0.872,279.695007,60.50600052,GoodBiscuit,Delishus_NB_150
1806506,2015-05-13 11:00:24,63.112999,1.42,1.448,178.634003,52.50400162,GoodBiscuit,Delishus_NB_150
1806507,2015-05-13 11:00:24,66.946999,0.769,0.571,205.207993,42.17699814,GoodBiscuit,Delishus_NB_150
1806508,2015-05-13 11:00:24,65.625,1.159,1.28,102.267998,55.70399857,GoodBiscuit,Delishus_NB_150
1806509,2015-05-13 11:00:24,66.413002,0.687,1.247,281.036987,56.55400085,GoodBiscuit,Delishus_NB_150
1806510,2015-05-13 11:00:25,66.017998,0.928,1.075,252.852997,55.45199966,GoodBiscuit,Delishus_NB_150
1806511,2015-05-13 11:00:25,62.827,0.615,0.606,148.167999,44.66500092,GoodBiscuit,Delishus_NB_150
1806512,2015-05-13 11:00:25,62.862999,0.145,0.625,94.887001,37.40499878,GoodBiscuit,Delishus_NB_150
1806513,2015-05-13 11:00:25,66.567001,0.667,0.783,400.886993,59.41999817,GoodBiscuit,Delishus_NB_150
1806514,2015-05-13 11:00:26,62.555,0.225,0.576,132.332001,58.43700027,GoodBiscuit,Delishus_NB_150
1806515,2015-05-13 11:00:26,62.622002,0.767,1.113,203.328995,42.0340004,GoodBiscuit,Delishus_NB_150
1806516,2015-05-13 11:00:26,63.069,0.45,1.192,243.188995,36.09999847,GoodBiscuit,Delishus_NB_150
1806517,2015-05-13 11:00:27,67.325996,1.524,1.921,330.82901,67.39199829,GoodBiscuit,Delishus_NB_150
1806518,2015-05-13 11:00:27,65.622002,0.464,0.769,331.768005,63.7120018,GoodBiscuit,Delishus_NB_150
1806519,2015-05-13 11:00:27,66.713997,1.026,0.968,313.113007,35.72399902,GoodBiscuit,Delishus_NB_150
1806520,2015-05-13 11:00:27,65.832001,0.576,0.863,291.773987,65.51999664,GoodBiscuit,Delishus_NB_150
1806521,2015-05-13 11:00:28,66.725998,1.205,1.14,298.886993,43.75699997,GoodBiscuit,Delishus_NB_150
1806522,2015-05-13 11:00:28,62.882999,1.115,1.2,141.188995,32.13600159,GoodBiscuit,Delishus_NB_150
1806523,2015-05-13 11:00:28,64.625999,0.836,0.828,95.8259964,40.23500061,GoodBiscuit,Delishus_NB_150
1806524,2015-05-13 11:00:28,66.264,1.237,1.546,265.200012,49.76699829,GoodBiscuit,Delishus_NB_150
1806525,2015-05-13 11:00:29,63.625999,0.374,0.751,106.966003,31.94799995,GoodBiscuit,Delishus_NB_150
1806526,2015-05-13 11:00:29,66.567001,1.763,2.346,364.649994,51.80400085,GoodBiscuit,Delishus_NB_150
1806527,2015-05-13 11:00:29,66.272003,0.775,0.728,124.816002,37.40299988,GoodBiscuit,Delishus_NB_150
1806528,2015-05-13 11:00:30,67.425003,0.927,1.104,267.884003,48.34000015,GoodBiscuit,Delishus_NB_150
1806529,2015-05-13 11:00:30,62.187,0.211,0.711,147.899994,40.54999924,GoodBiscuit,Delishus_NB_150
1806530,2015-05-13 11:00:30,66.799004,0.187,1.6390001,362.770996,62.05799866,GoodBiscuit,Delishus_NB_150
1806531,2015-05-13 11:00:30,62.473999,0.151,0.723,145.082001,37.64099884,GoodBiscuit,Delishus_NB_150
1806532,2015-05-13 11:00:31,63.403999,1.211,0.982,104.416,46.65100098,GoodBiscuit,Delishus_NB_150
1806533,2015-05-13 11:00:31,63.159,0.501,0.833,175.145004,56.31900024,GoodBiscuit,Delishus_NB_150
1806534,2015-05-13 11:00:31,61.046001,0.321,0.936,83.4789963,35.26399994,GoodBiscuit,Delishus_NB_150
1806535,2015-05-13 11:00:31,63.669998,1.283,1.2309999,288.015991,29.18400002,GoodBiscuit,Delishus_NB_150
1806536,2015-05-13 11:00:32,61.367001,0.904,1.095,112.737,37.76200104,GoodBiscuit,Delishus_NB_150
1806537,2015-05-13 11:00:32,62.506001,0.56,0.677,378.473999,31.83499908,GoodBiscuit,Delishus_NB_150
1806538,2015-05-13 11:00:32,61.803001,1.0039999,0.988,100.121002,28.42700005,GoodBiscuit,Delishus_NB_150
1806539,2015-05-13 11:00:33,62.902,0.808,0.931,107.502998,54.20299911,GoodBiscuit,Delishus_NB_150
1806540,2015-05-13 11:00:33,62.279999,0.819,0.891,142.800003,28.43700027,GoodBiscuit,Delishus_NB_150
1806541,2015-05-13 11:00:33,62.191002,0.913,1.084,319.42099,31.87700081,GoodBiscuit,Delishus_NB_150
1806542,2015-05-13 11:00:33,61.068001,0.414,0.947,99.8529968,44.29100037,GoodBiscuit,Delishus_NB_150
